session,direction,state_id,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,exit_reason
NY,LONG,121,2026-04-18 19:00:00+00:00,75745.15,2026-04-18 19:55:00+00:00,75677.5,-0.1593,signal
ASIA,SHORT,20,2026-04-19 01:15:00+00:00,75631.37,2026-04-19 02:40:00+00:00,75677.5,-0.131,signal
ASIA,LONG,14,2026-04-19 02:40:00+00:00,75692.64,2026-04-19 03:05:00+00:00,75389.86,-0.47,SL
ASIA,LONG,18,2026-04-19 03:05:00+00:00,75482.09,2026-04-19 03:25:00+00:00,75550.0,0.02,signal
ASIA,SHORT,23,2026-04-19 03:25:00+00:00,75534.89,2026-04-19 04:15:00+00:00,75758.0,-0.3654,signal
ASIA,LONG,32,2026-04-19 04:15:00+00:00,75773.15,2026-04-19 04:20:00+00:00,75742.5,-0.1105,signal
ASIA,SHORT,2,2026-04-19 04:20:00+00:00,75727.35,2026-04-19 04:25:00+00:00,75714.0,-0.0524,signal
ASIA,SHORT,16,2026-04-19 04:40:00+00:00,75549.89,2026-04-19 04:45:00+00:00,75657.0,-0.2118,signal
ASIA,SHORT,16,2026-04-19 05:10:00+00:00,75570.38,2026-04-19 05:45:00+00:00,75622.0,-0.1383,signal
ASIA,SHORT,16,2026-04-19 23:10:00+00:00,74042.69,2026-04-19 23:45:00+00:00,73946.0,0.0606,signal
NY,SHORT,129,2026-04-19 17:50:00+00:00,74818.53,2026-04-19 17:55:00+00:00,74808.0,-0.0559,signal
NY,LONG,132,2026-04-19 17:55:00+00:00,74822.96,2026-04-19 18:00:00+00:00,74727.5,-0.1976,signal
NY,SHORT,128,2026-04-19 18:00:00+00:00,74712.55,2026-04-19 18:05:00+00:00,74910.0,-0.3343,signal
ASIA,SHORT,16,2026-04-20 00:00:00+00:00,74083.68,2026-04-20 00:40:00+00:00,74200.0,-0.227,signal
LONDON,SHORT,61,2026-04-20 07:25:00+00:00,75222.95,2026-04-20 08:25:00+00:00,74841.0,0.4378,signal
NY,LONG,121,2026-04-21 16:00:00+00:00,75899.18,2026-04-21 16:35:00+00:00,76056.0,0.1366,signal
NY,LONG,121,2026-04-21 17:20:00+00:00,75335.56,2026-04-21 18:40:00+00:00,75528.0,0.1854,signal
NY,LONG,121,2026-04-21 19:45:00+00:00,75035.5,2026-04-21 20:05:00+00:00,75370.0,0.3758,signal
NY,SHORT,128,2026-04-21 20:05:00+00:00,75354.93,2026-04-21 20:10:00+00:00,75598.5,-0.3932,signal
NY,LONG,128,2026-04-21 20:10:00+00:00,75613.62,2026-04-21 20:15:00+00:00,75535.5,-0.1733,signal
NY,SHORT,128,2026-04-21 20:15:00+00:00,75520.39,2026-04-21 20:20:00+00:00,75644.5,-0.2343,signal
NY,LONG,128,2026-04-21 20:20:00+00:00,75659.63,2026-04-21 20:25:00+00:00,75653.0,-0.0788,signal
NY,SHORT,128,2026-04-21 20:25:00+00:00,75637.87,2026-04-21 20:30:00+00:00,75815.5,-0.3048,signal
NY,LONG,128,2026-04-21 20:30:00+00:00,75830.66,2026-04-21 20:35:00+00:00,75762.5,-0.1599,signal
NY,SHORT,128,2026-04-21 20:35:00+00:00,75747.35,2026-04-21 21:55:00+00:00,75560.5,0.1767,
ASIA,LONG,22,2026-04-22 02:45:00+00:00,77218.94,2026-04-22 02:50:00+00:00,77511.5,0.3089,signal
ASIA,LONG,24,2026-04-22 02:55:00+00:00,77633.52,2026-04-22 04:15:00+00:00,77429.5,-0.3328,signal
ASIA,LONG,22,2026-04-22 05:55:00+00:00,78006.1,2026-04-22 06:50:00+00:00,78000.0,-0.0778,signal
